ingredient,fodmap_level,fodmap_group,category
dried quinoa,LOW,None,grain
raw quinoa,LOW,None,grain
Corn,LOW,None,grain
organic corn,LOW,None,grain
fresh corn,LOW,None,grain
dried corn,LOW,None,grain
corn,LOW,None,grain
raw corn,LOW,None,grain
dried polenta,LOW,None,grain
raw polenta,LOW,None,grain
polenta,LOW,None,grain
Polenta,LOW,None,grain
fresh polenta,LOW,None,grain
organic polenta,LOW,None,grain
Millet,LOW,None,grain
raw millet,LOW,None,grain
dried millet,LOW,None,grain
organic millet,LOW,None,grain
fresh millet,LOW,None,grain
millet,LOW,None,grain
fresh buckwheat,LOW,None,grain
dried buckwheat,LOW,None,grain
Buckwheat,LOW,None,grain
raw buckwheat,LOW,None,grain
buckwheat,LOW,None,grain
organic buckwheat,LOW,None,grain
gluten free bread,LOW,None,grain
Gluten Free Bread,LOW,None,grain
Rice Noodles,LOW,None,grain
rice noodles,LOW,None,grain
corn tortillas,LOW,None,grain
Corn Tortillas,LOW,None,grain
rice cakes,LOW,None,grain
Rice Cakes,LOW,None,grain
brown rice,LOW,None,grain
Brown Rice,LOW,None,grain
wild rice,LOW,None,grain
Wild Rice,LOW,None,grain
dried chicken,LOW,None,protein
Chicken,LOW,None,protein
fresh chicken,LOW,None,protein
organic chicken,LOW,None,protein
chicken,LOW,None,protein
raw chicken,LOW,None,protein
Turkey,LOW,None,protein
organic turkey,LOW,None,protein
dried turkey,LOW,None,protein
raw turkey,LOW,None,protein
fresh turkey,LOW,None,protein
turkey,LOW,None,protein
dried beef,LOW,None,protein
fresh beef,LOW,None,protein
raw beef,LOW,None,protein
beef,LOW,None,protein
organic beef,LOW,None,protein
Beef,LOW,None,protein
organic salmon,LOW,None,protein
dried salmon,LOW,None,protein
fresh salmon,LOW,None,protein
Salmon,LOW,None,protein
raw salmon,LOW,None,protein
salmon,LOW,None,protein
dried tuna,LOW,None,protein
raw tuna,LOW,None,protein
organic tuna,LOW,None,protein
fresh tuna,LOW,None,protein
Tuna,LOW,None,protein
tuna,LOW,None,protein
fresh cod,LOW,None,protein
cod,LOW,None,protein
dried cod,LOW,None,protein
Cod,LOW,None,protein
raw cod,LOW,None,protein
organic cod,LOW,None,protein
dried egg,LOW,None,protein
Egg,LOW,None,protein
fresh egg,LOW,None,protein
organic egg,LOW,None,protein
egg,LOW,None,protein
raw egg,LOW,None,protein
raw shrimp,LOW,None,protein
dried shrimp,LOW,None,protein
organic shrimp,LOW,None,protein
shrimp,LOW,None,protein
fresh shrimp,LOW,None,protein
Shrimp,LOW,None,protein
raw crab,LOW,None,protein
fresh crab,LOW,None,protein
dried crab,LOW,None,protein
crab,LOW,None,protein
organic crab,LOW,None,protein
Crab,LOW,None,protein
fresh lobster,LOW,None,protein
organic lobster,LOW,None,protein
lobster,LOW,None,protein
dried lobster,LOW,None,protein
Lobster,LOW,None,protein
raw lobster,LOW,None,protein
Halibut,LOW,None,protein
raw halibut,LOW,None,protein
organic halibut,LOW,None,protein
halibut,LOW,None,protein
fresh halibut,LOW,None,protein
dried halibut,LOW,None,protein
Tilapia,LOW,None,protein
tilapia,LOW,None,protein
organic tilapia,LOW,None,protein
raw tilapia,LOW,None,protein
fresh tilapia,LOW,None,protein
dried tilapia,LOW,None,protein
organic trout,LOW,None,protein
dried trout,LOW,None,protein
trout,LOW,None,protein
raw trout,LOW,None,protein
fresh trout,LOW,None,protein
Trout,LOW,None,protein
fresh sardine,LOW,None,protein
Sardine,LOW,None,protein
sardine,LOW,None,protein
organic sardine,LOW,None,protein
raw sardine,LOW,None,protein
dried sardine,LOW,None,protein
fresh anchovy,LOW,None,protein
anchovy,LOW,None,protein
organic anchovy,LOW,None,protein
raw anchovy,LOW,None,protein
Anchovy,LOW,None,protein
dried anchovy,LOW,None,protein
lamb,LOW,None,protein
dried lamb,LOW,None,protein
Lamb,LOW,None,protein
fresh lamb,LOW,None,protein
raw lamb,LOW,None,protein
organic lamb,LOW,None,protein
fresh pork,LOW,None,protein
Pork,LOW,None,protein
pork,LOW,None,protein
dried pork,LOW,None,protein
organic pork,LOW,None,protein
raw pork,LOW,None,protein
dried duck,LOW,None,protein
Duck,LOW,None,protein
organic duck,LOW,None,protein
duck,LOW,None,protein
raw duck,LOW,None,protein
fresh duck,LOW,None,protein
organic venison,LOW,None,protein
venison,LOW,None,protein
dried venison,LOW,None,protein
raw venison,LOW,None,protein
fresh venison,LOW,None,protein
Venison,LOW,None,protein
organic bison,LOW,None,protein
fresh bison,LOW,None,protein
raw bison,LOW,None,protein
dried bison,LOW,None,protein
bison,LOW,None,protein
Bison,LOW,None,protein
Lactose Free Milk,LOW,None,dairy
lactose free milk,LOW,None,dairy
Hard Cheese,LOW,None,dairy
hard cheese,LOW,None,dairy
parmesan,LOW,None,dairy
Parmesan,LOW,None,dairy
raw parmesan,LOW,None,dairy
fresh parmesan,LOW,None,dairy
organic parmesan,LOW,None,dairy
dried parmesan,LOW,None,dairy
fresh cheddar,LOW,None,dairy
cheddar,LOW,None,dairy
organic cheddar,LOW,None,dairy
Cheddar,LOW,None,dairy
dried cheddar,LOW,None,dairy
raw cheddar,LOW,None,dairy
Swiss Cheese,LOW,None,dairy
swiss cheese,LOW,None,dairy
Goat Cheese,LOW,None,dairy
goat cheese,LOW,None,dairy
fresh brie,LOW,None,dairy
Brie,LOW,None,dairy
organic brie,LOW,None,dairy
dried brie,LOW,None,dairy
raw brie,LOW,None,dairy
brie,LOW,None,dairy
dried feta,LOW,None,dairy
Feta,LOW,None,dairy
feta,LOW,None,dairy
raw feta,LOW,None,dairy
organic feta,LOW,None,dairy
fresh feta,LOW,None,dairy
Chia,LOW,None,nut_seed
raw chia,LOW,None,nut_seed
dried chia,LOW,None,nut_seed
organic chia,LOW,None,nut_seed
fresh chia,LOW,None,nut_seed
chia,LOW,None,nut_seed
raw flaxseed,LOW,None,nut_seed
flaxseed,LOW,None,nut_seed
organic flaxseed,LOW,None,nut_seed
Flaxseed,LOW,None,nut_seed
fresh flaxseed,LOW,None,nut_seed
dried flaxseed,LOW,None,nut_seed
pumpkin seed,LOW,None,nut_seed
Pumpkin Seed,LOW,None,nut_seed
organic walnut,LOW,None,nut_seed
dried walnut,LOW,None,nut_seed
raw walnut,LOW,None,nut_seed
walnut,LOW,None,nut_seed
fresh walnut,LOW,None,nut_seed
Walnut,LOW,None,nut_seed
raw pecan,LOW,None,nut_seed
organic pecan,LOW,None,nut_seed
pecan,LOW,None,nut_seed
fresh pecan,LOW,None,nut_seed
dried pecan,LOW,None,nut_seed
Pecan,LOW,None,nut_seed
fresh macadamia,LOW,None,nut_seed
organic macadamia,LOW,None,nut_seed
macadamia,LOW,None,nut_seed
raw macadamia,LOW,None,nut_seed
Macadamia,LOW,None,nut_seed
dried macadamia,LOW,None,nut_seed
raw sesame,LOW,None,nut_seed
Sesame,LOW,None,nut_seed
fresh sesame,LOW,None,nut_seed
dried sesame,LOW,None,nut_seed
organic sesame,LOW,None,nut_seed
sesame,LOW,None,nut_seed
Sunflower Seed,LOW,None,nut_seed
sunflower seed,LOW,None,nut_seed
hemp seed,LOW,None,nut_seed
Hemp Seed,LOW,None,nut_seed
Pine Nut,LOW,None,nut_seed
pine nut,LOW,None,nut_seed
Green Tea,LOW,None,beverage
green tea,LOW,None,beverage
Black Tea,LOW,None,beverage
black tea,LOW,None,beverage
coffee,LOW,None,beverage
organic coffee,LOW,None,beverage
raw coffee,LOW,None,beverage
Coffee,LOW,None,beverage
dried coffee,LOW,None,beverage
fresh coffee,LOW,None,beverage
Water,LOW,None,beverage
water,LOW,None,beverage
raw water,LOW,None,beverage
organic water,LOW,None,beverage
fresh water,LOW,None,beverage
dried water,LOW,None,beverage
Sparkling Water,LOW,None,beverage
sparkling water,LOW,None,beverage
Orange Juice,LOW,None,beverage
orange juice,LOW,None,beverage
Cranberry Juice,LOW,None,beverage
cranberry juice,LOW,None,beverage
olive oil,LOW,None,condiment
Olive Oil,LOW,None,condiment
fresh vinegar,LOW,None,condiment
raw vinegar,LOW,None,condiment
dried vinegar,LOW,None,condiment
Vinegar,LOW,None,condiment
organic vinegar,LOW,None,condiment
vinegar,LOW,None,condiment
Mustard,LOW,None,condiment
dried mustard,LOW,None,condiment
mustard,LOW,None,condiment
raw mustard,LOW,None,condiment
fresh mustard,LOW,None,condiment
organic mustard,LOW,None,condiment
basil,LOW,None,condiment
raw basil,LOW,None,condiment
organic basil,LOW,None,condiment
Basil,LOW,None,condiment
fresh basil,LOW,None,condiment
dried basil,LOW,None,condiment
Oregano,LOW,None,condiment
dried oregano,LOW,None,condiment
fresh oregano,LOW,None,condiment
raw oregano,LOW,None,condiment
organic oregano,LOW,None,condiment
oregano,LOW,None,condiment
raw thyme,LOW,None,condiment
dried thyme,LOW,None,condiment
organic thyme,LOW,None,condiment
thyme,LOW,None,condiment
fresh thyme,LOW,None,condiment
Thyme,LOW,None,condiment
Rosemary,LOW,None,condiment
dried rosemary,LOW,None,condiment
raw rosemary,LOW,None,condiment
organic rosemary,LOW,None,condiment
rosemary,LOW,None,condiment
fresh rosemary,LOW,None,condiment
dried parsley,LOW,None,condiment
raw parsley,LOW,None,condiment
Parsley,LOW,None,condiment
organic parsley,LOW,None,condiment
fresh parsley,LOW,None,condiment
parsley,LOW,None,condiment
raw cilantro,LOW,None,condiment
cilantro,LOW,None,condiment
Cilantro,LOW,None,condiment
dried cilantro,LOW,None,condiment
organic cilantro,LOW,None,condiment
fresh cilantro,LOW,None,condiment
Turmeric,LOW,None,condiment
raw turmeric,LOW,None,condiment
organic turmeric,LOW,None,condiment
dried turmeric,LOW,None,condiment
fresh turmeric,LOW,None,condiment
turmeric,LOW,None,condiment
cumin,LOW,None,condiment
Cumin,LOW,None,condiment
raw cumin,LOW,None,condiment
organic cumin,LOW,None,condiment
fresh cumin,LOW,None,condiment
dried cumin,LOW,None,condiment
Paprika,LOW,None,condiment
raw paprika,LOW,None,condiment
paprika,LOW,None,condiment
organic paprika,LOW,None,condiment
dried paprika,LOW,None,condiment
fresh paprika,LOW,None,condiment
organic ginger,LOW,None,condiment
ginger,LOW,None,condiment
Ginger,LOW,None,condiment
fresh ginger,LOW,None,condiment
raw ginger,LOW,None,condiment
dried ginger,LOW,None,condiment
Black Pepper,LOW,None,condiment
black pepper,LOW,None,condiment
