recipe_name,recipe_url,servings_text,cook_time_text,index_page,description,recipe_yield,prep_time,cook_time,total_time,ingredients,instructions,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,is_low_fodmap,parse_status
Choc Peanut Butter Smoothie,https://www.monashfodmap.com/recipe/choc-peanut-butter-smoothie/,Serves: 1,Cook: 5 minutes,7,"This deliciously, creamy choc peanut butter smoothie is sure to hit the spot!",1,PT5M,PT5M,PT10M,1 slightly green banana | 2 tbsp peanut butter | 1/2 cup unsweetened almond milk | 1/4 cup lactose free yoghurt | 1 tbsp cacao powder | 1/2 tsp vanilla essence,Add all ingredients into a blender and blend until smooth and creamy. Serve immediately!,2170.0,17.07,36.59,32.25,7.4,25.76,True,ok
3-Ingredient Flatbread,https://www.monashfodmap.com/recipe/3-ingredient-flatbread/,Serves: 12,Cook: 15 minutes,7,The easiest flatbread you&#x27;ll ever make! Perfect paired with a Low FODMAP curry or sliced up to have with dip!,12,PT20M,PT15M,PT35M,Gluten Free Plain Flour | Lactose free yoghurt | 1 tsp baking powder | Oil for cooking,"Add all ingredients to a mixing bowl and stir with a wooden spoon to combine, then use your hands to bring everything together | Dust your bench top with flour, tip dough out and knead for a minute or 2 | Roll dough out into a long tube and cut into 12 equal sized pieces | With your hands, flatten out the dough, then use a rolling pin to roll each piece into thin rounds | Heat oil in a fry pan over medium heat and cook each round for 1 -2 minutes on each side until browned",520.3,2.4,25.5,1.2,0.3,2.8,True,ok
Spanakopita,https://www.monashfodmap.com/recipe/spanakopita/,Serves: 8,Cook: 40 minutes,7,"A delicious Greek classic, with crunchy layers of phyllo pastry and a comforting filling of spinach, feta and herbs",8,PT20M,PT40M,PT60M,"English spinach leaves (stalks removed) | 2 tbsp olive oil | 2 cups leek greens, roughly chopped | 1 cup spring onion greens, roughly chopped | Feta cheese, shredded/crumbled | Dill, roughly chopped | Mint leaves, roughly chopped | 2 eggs, beaten | Zest of 1 lemon | Pinch of nutmeg | Filo pastry (about 12 sheets) | Oil, for greasing pastry","Preheat the oven to 200°C/392°F. Grease the 30 x 25cm tin with oil. Using half of the filo pastry for the bottom, line each sheet of pastry down so that the excess is overhanding. Brush or spray each sheet as you go with olive oil spray or using a pastry brush. | Chop the spinach and wash thoroughly – bathe the spinach in water using a colander and sprinkle some salt on top. Change the water 2 times for an extra thorough clean. Squeeze all of the water out of the spinach and set aside. | Place the olive oil, leek and spring onion greens in a medium sized pan and on low to medium heat. Cook until softened and set aside. | Add spinach, leek &amp;amp; spring onion greens, feta, herbs, eggs, lemon zest, and nutmeg into a bowl and mix well. Spoon in the filling into the pre-prepared tray. | Repeat the layering process with the leftover fillo pastry, brushing with oil in between each sheet. Make sure the top layer has enough oil. Cook for 30-40 minutes or until golden. Serve immediately.",1413.5,14.8,22.4,20.1,5.3,14.8,True,ok
Smokey eggplant dip,https://www.monashfodmap.com/recipe/smokey-eggplant-dip/,Serves: 8,Cook: 35 minutes,7,A delicious veggie based dip that the whole family can enjoy!,8,PT30M,PT35M,PT65M,"eggplant | lemon juice | tahini | ground cumin | garlic-infused extra virgin olive oil | Salt and pepper, to taste | Sprinkle of smoked paprika | Fresh herbs (such as coriander or parsley), roughly chopped, to serve","Preheat oven to 200°C (390°F). Line a large baking tray with baking paper. Place whole eggplant onto tray and prick skin all over with a fork. Roast for 35-40 minutes or until eggplant is soft. Set aside to cool. | Once eggplant has cooled, cut it in half lengthways. Using a large spoon, scoop out the flesh onto a chopping board. Roughly chop then transfer to a mixing bowl. | To the mixing bowl, add 2 tablespoons of lemon juice, tahini, cumin, 1 tablespoon of the garlic-infused oil and salt and pepper. Mash into eggplant until well combined. | To serve, spoon dip into a serving bowl. Drizzle with remaining garlic-infused oil and sprinkle with smoked paprika and chopped fresh herbs.",310.0,2.0,1.0,7.0,2.6,1.0,True,ok
Chicken Broccoli Pasta Bake,https://www.monashfodmap.com/recipe/chicken-broccoli-pasta-bake/,Serves: 6,Cook: 30 minutes,7,Everyone in the family will love this winter warmer!,6,PT20M,PT30M,PT50M,"1 tbsp garlic infused olive oil | 500g chicken breast, diced | pasta, gluten free | 3 cups broccoli florets | 2 cups kent/japanese pumpkin, diced | 1/4 cup butter | 1/4 cup gluten free flour | 1 cup low FODMAP chicken stock | 1 cup lactose-free milk | 1 cup mozzarella, shredded","Preheat the oven to 180°C / 350°F and grease a casserole dish. Heat the garlic infused olive oil in a large frying pan and cook the pieces of chicken for 6 minutes or until just cooked. Once cooked, set aside. | Meanwhile, bring a large pot of boiling water to the boil for the pasta. Add the pasta and cook as per the instructions on the packet. Once the pasta has 1-2 minutes left, add the pumpkin and broccoli and cook with the pasta. Drain the pasta and vegetables and keep in the same pot. | Melt the butter over medium heat, whisk in the flour, stirring continuously. Slowly add in the chicken stock and milk, whisking continuously until thickened. Remove from the pan and stir in ½ cup of the mozzarella until well combined. Pour the sauce into the large pot with the vegetable and pasta mix. Add in the chicken and stir. | Pour the combined pasta, chicken and vegetable mix into the pre-prepared casserole dish. Top the dish wish the remaining mozzarella and bake for 25 minutes.",1862.8,29.8,35.9,19.2,3.4,3.9,True,ok
"Roasted Sweet Potato, Quinoa and Fried Egg Lunch bowl",https://www.monashfodmap.com/recipe/roasted-sweet-potato-quinoa-and-fried-egg-lunch-bowl/,Serves: 2,Cook: 30 minutes,7,"Protein packed, easy to make lunch bowl!",2,PT5M,PT30M,PT35M,"Half a medium sweet potato, cut into cubes | 1 tsp smoked paprika | 1 tsp olive oil | 1/2 cup quinoa uncooked | 1 cup Low FODMAP vegetable or chicken stock | 4 eggs | 1 tbsp butter | Salt and pepper to taste","Preheat the oven to 200C. Line a tray with baking paper and toss the sweet potato cubes with the smoked paprika and olive oil. Roast for 25 minutes or until golden brown. | In the meantime, place quinoa into a small saucepan with the stock (or water) over medium heat. Bring to a boil, then lower heat and simmer until cooked through (approx. 15 minutes) | In a large fry pan, melt the butter over medium heat. Crack eggs into the pan one at a time and cook for approximately 3 minutes, or until white is completely set. Remove from the heat and set aside | Divide the quinoa and sweet potato into 2 bowls and stir to combine. Add eggs on top and season with salt and pepper to taste.",1885.0,20.34,39.5,22.03,7.14,6.64,True,ok
Roast Pumpkin & Thyme Risotto,https://www.monashfodmap.com/recipe/roast-pumpkin-thyme-risotto/,Serves: 4,Cook: 35 minutes,8,"Creamy, delicious risotto paired with roast pumpkin, thyme &amp; feta",4,PT20M,PT35M,PT55M,"Kent/Japanese pumpkin, peeled, seeded, cut into 2cm cubes | 3 cups Low FODMAP Vegetable Stock | 1 tbsp garlic infused olive oil | 1 tbsp fresh thyme leaves, chopped + extra for serving | Arborio Rice, uncooked | 2/3 cup white wine | 1/4 cup pepitas (pumpkin seeds) | Feta, crumbled","Preheat the oven to 200°C. Place the pumpkin on a lined baking tray, drizzle with garlic-infused olive oil, season to taste, and roast for 25 minutes or until soft. | Meanwhile, add vegetable stock to a small saucepan and bring to the boil, reduce heat to low and hold at a simmer | Heat 1 tbsp of garlic infused olive oil over medium heat in a heavy based saucepan. Add the thyme leaves and let cook for 1 minute. Stir in the rice for 1 minute and then pour in the white wine and cook, stirring, until the wine reduces by half. | Add half a cup of the stock to the rice and stir with a wooden spoon until the liquid is absorbed. Keep adding the stock ½ cup at a time, stirring constantly and allow the liquid to be absorbed before adding more stock. Continue this for approximately 15 minutes | Add the roasted pumpkin to the mix along with any stock that is left, and cook stirring for a further 5 minutes until the rice is tender and risotto is creamy | Turn off the heat, cover and let stand for 5 minutes | Stir through the pepitas and feta before serving, divide amongst bowls and top with fresh thyme leaves.",1938.4,10.2,57.6,16.2,5.2,9.3,True,ok
Rice Paper Rolls with Peanut Dipping Sauce,https://www.monashfodmap.com/recipe/rice-paper-rolls-peanut-dipping-sauce/,"Serves: 8 rolls, 2 per serve",Cook: 10 minutes,8,"Made with a variety of veggies, firm tofu and rice noodles, these delicious rolls are the perfect healthy lunch and surprisingly simple to make!","8 rolls, 2 per serve",PT15M,PT10M,PT25M,"Dried vermicelli noodles | Firm tofu | 2 tbsp sesame oil | 2 tbsp cornstarch | 1 large carrot, grated | 1/2 a cucumber, thinly sliced | 1 cup red cabbage | 1/4 cup coriander leaves | 8 rice paper wrappers | Dipping Sauce: | 1/3 cup peanut butter | 2 tbsp rice wine vinegar | 2 tbsp soy sauce | 1 tbsp maple syrup | 1 tbsp sesame oil | 2 to 3 tbsp water, as needed","Place vermicelli noodles into a bowl and cover with boiling water. Let stand until the noodles are soft and then drain. Cut noodles into short lengths with kitchen scissors. | Meanwhile, heat 2 tbsp sesame oil in a fry pan over medium heat and slice tofu into small rectangles. Toss the tofu in the cornstarch and add to the fry pan, flipping on all sides until evenly browned, approximately 5 minutes. Remove from the pan and set aside. | Soak rice paper wrappers in cold water until soft and pliable. | Add a small handful of vermicelli noodles and layer carrot, cucumber, red cabbage, coriander and tofu on top. Gently roll over once, tuck in the edges, and continue rolling until the seam is sealed. | Repeat with remaining wrappers, noodles, vegetables and tofu. | To make the dipping sauce, whisk together the peanut butter, rice vinegar, soy sauce, maple syrup and sesame oil. Whisk in 2 - 3 tbsp of water as needed to make a smooth, creamy sauce. | Serve rice paper rolls with dipping sauce.",2246.3,16.8,44.5,30.6,7.9,12.5,True,ok
"Roasted Pumpkin, Quinoa and Beetroot Salad",https://www.monashfodmap.com/recipe/roasted-pumpkin-quinoa-and-beetroot-salad/,Serves: 2,Cook: 35 minutes,8,Thought beetroot was off the menu? Think again! A 2 slice serve of cooked beetroot is actually low in FODMAPs and works perfectly in this simple salad!,2,PT5M,PT35M,PT40M,"1 cup of Japanese Pumpkin, cubed | 4 slices raw beetroot | Half a medium zucchini, cut into 1cm slices | ½ cup uncooked quinoa, rinsed | 2 tbsp crumbled feta | 2 tbsp fresh parsley leaves, roughly chopped | 2 tsp balsamic vinegar | 2 tsp olive oil","Preheat oven to 200 degrees Celsius/390 degrees farenheit. Add pumpkin, beetroot and zucchini to a baking tray, drizzle with olive oil and roast for 35-40 minutes | Meanwhile, cook quinoa according to package instructions and set aside | Once vegetables have finished roasting, divide the quinoa, pumpkin, beetroot and zucchini evenly across two bowls or containers. | To serve, top with feta and parsley, then drizzle with balsamic vinegar and olive oil",1193.6,9.2,33.4,10.9,7.0,7.4,True,ok
Chicken Madras Curry,https://www.monashfodmap.com/recipe/chicken-madras-curry/,Serves: 4,Cook: 30 minutes,8,Packed full of flavour and perfect for a cosy winters night!,4,PT20M,PT30M,PT50M,"2 tbsp olive oil | 2 tbsp garlic infused olive oil | 1 tsp cinnamon | 1 tbsp ginger, finely chopped | 1 tsp turmeric | 1 tsp cumin seeds | 1 tsp ground coriander | 1 tsp garam masala | 1/2 tsp cayenne pepper | Chicken thigh fillets, cut in half | 8 fresh curry leaves | 2 medium tomatoes, roughly chopped | 1/3 cup coconut milk, canned | 1/4 cup coriander, roughly chopped","Heat the regular olive oil in a large saucepan over medium heat. Place the ginger and cinnamon in the pan and cook for 1 minute. Add in the garlic infused olive oil, turmeric, cumin, ground coriander, garam masala, cayenne and curry leaves. Cook for 5 minutes, stirring constantly. | Add the chicken thighs to coat, and cook for 3 minutes. Stir in the roughly chopped tomatoes and cook for 15 minutes. | Add the coconut milk and stir, simmer for 1-2 minutes, then remove from heat.",1752.9,25.3,4.1,33.5,1.8,2.5,True,ok
Carrot Fritters,https://www.monashfodmap.com/recipe/carrot-fritters/,Serves: 4,Cook: 15 minutes,8,A delicious way to use up those old carrots sitting in the fridge!,4,PT10M,PT15M,PT25M,"6 medium sized carrots, grated | 1/4 cup greens of spring onion | 1 tsp cumin seeds | 1 tsp coriander seeds | 1/2 cup coriander, chopped | 2 eggs, whisked (see hints for vegan options) | 1/2 cup flour, white* | 1/2 tsp sea salt | 2 tbs extra virgin olive oil | Extra herbs for garnish (e.g. dill, parsley)","In a medium sized bowl, mix together the carrots, spring onion greens, spices, coriander, flour, whisked eggs and salt. Stir until combined. | Heat 1 tbs olive oil in a medium-large sized fry pan on medium heat. Use a dessert spoon to scoop out the mixture into balls and place into the pan. Push down with the back of the spoon to flatten the balls into patties. This will need to be done in batches. Fry until golden - approximately 2-3 minutes on each side. | Once fritters are cooked, place on a plate lined with paper towel to absorb the excess oil. | Repeat step 2 for the next batch of fritters. Place the first batch of fritters in the oven at a low temperature if you wish to keep them warm while the second batch is cooking. | Serve immediately once all fritters are cooked and garnish with desired herbs.",1048.4,6.6,25.9,11.9,7.6,12.8,True,ok
Lemon Myrtle Sorbet,https://www.monashfodmap.com/recipe/lemon-myrtle-sorbet/,Serves: 10,Cook: 160 minutes,8,Perfect for a hot summer&#x27;s day!,10,PT10M,PT161M,PT171M,420ml water | 2 cups caster sugar | 400ml freshly squeezed lemon juice | 100ml freshly squeezed lime juice | Zest of 1 lemon | Zest of 1 lime | 1 tsp lemon myrtle leaf ground,"Place the water and sugar in a medium saucepan and stir over medium heat until the sugar has dissolved. Allow to cool completely. | Stir in the juices and zest of both lemon and lime, as well as lemon myrtle until combined. | Pour mix into a freezer box or large plastic container and place into the freezer. After 1.5 hrs, either use electric beaters, a fork or a whisk to break up mixture. Repeat once every hour for 4 hours to break up the ice crystals. Stop mixing when firm but still easy to scoop.",559.0,0.2,32.8,0.08,1.1,32.8,True,ok
Saltbush dukkah,https://www.monashfodmap.com/recipe/saltbush-dukkah/,Serves: 6,Cook: 15 minutes,9,"Packed full of flavour and crunch - a great accompaniment to salads, soups, veggies and dips!",6,PT5M,PT15M,PT20M,1/2 cup dried ground salt bush leaves | 1 cup finely chopped macadamias | 1/4 cup sesame seeds | 1/4 cup roughly chopped pumpkin seeds/pepitas | 2 tbs coriander seeds | 1/2 tbs cumin seeds | 1 tsp ground peppercorns,"In a fry pan, toast the macadamias, pepitas and sesame seeds for a couple of minutes, continuously stirring to ensure they do not burn. Remove from heat, and place in a bowl to cool. | Place the saltbush leaves, cumin, peppercorns and coriander seeds into the fry pan to toast for 1-2 minutes or until browned. Take off heat to cool. | Once all ingredients are cool, place into a bowl and stir well until combined.",1095.0,5.7,2.3,24.9,4.1,1.3,True,ok
Tasmanian pepperberry chimichurri,https://www.monashfodmap.com/recipe/tasmanian-pepperberry-chimichurri/,Serves: 5,Cook: 0 minutes,9,"A low FODMAP version of Argentia&#x27;s favourite sauce, using the native Australian Tasmanian Pepperberry.",5,PT10M,PT0M,PT10M,"1 cup flat-leaf parsley leaves | 1/2 cup coriander leaves | 2 tbs dried or fresh oregano | 1/4 cup garlic infused olive oil | 2-3 tbs red wine vinegar | 1/2 tsp ground pepperberry* | Pinch salt | 2 tsp lemon peel, grated finely (optional)","Combine parsley, coriander and oregano in a food processor or bullet. Pulse until the herbs are minced. If you don&#x27;t have a food processor, finely chop all of the herbs. Place into a small sized bowl. | Stir in both olive oils, red wine vinegar, pepperberry, salt, and the lemon peel, if using. Serve immediately or refrigerate.",926.0,0.9,1.4,23.2,2.7,0.4,True,ok
Kiwi Kakadu Plum Smoothie Bowl,https://www.monashfodmap.com/recipe/kiwi-kakadu-plum-smoothie-bowl/,Serves: 1,Cook: 2 minutes,9,A great way to boost your vitamin C and fibre intake for the day!,1,PT2M,PT2M,PT4M,"1 medium unripe banana | 1/2 cup your choice of low FODMAP milk | 2 green kiwi fruit, peeled | 1/2 cup chopped kale, stems &amp;amp; stalks removed | 1 tsp Kakadu plum powder* | handful of ice",Place all ingredients in a blender or smoothie maker. Add more milk or ice to your desired consistency. | Top with preferred toppings and serve immediately.,1028.0,6.4,38.8,4.9,9.0,29.6,True,ok
Chocolate Wattleseed Self-Saucing Pudding,https://www.monashfodmap.com/recipe/chocolate-wattleseed-self-saucing-pudding/,Serves: 6,Cook: 45 minutes,9,"A classic dish that we all know and love, with a twist!",6,PT25M,PT45M,PT70M,"2 tbsp wattleseeds* | 1 cup gluten-free flour | 3/4 cup caster sugar | 1/2 cup cocoa powder | 1/2 cup low FODMAP milk of your choice | 1 tsp vanilla essence | 1.5 tbsp butter, melted | 1/2 cup brown sugar | 1 3/4 cups boiling water","Preheat an oven to 180°C/356°F and prepare either an 8 cup capacity ovenproof dish or 6 x 150ml ramekins by lightly greasing with oil or butter. Soak wattleseeds in boiling water for 20 minutes, then drain. | In a medium-size bowl, combine the flour, caster sugar and 2 tbs of the cocoa powder. Add milk, vanilla, wattleseeds and melted butter - stir to combine. Pour the mixture into the prepared pan or evenly into each ramekin. Use a spoon or spatula to smooth over. | In a small bowl, mix together the remaining cocoa and brown sugar. Sift this over the prepared pan or ramekin with the mixture in it. Top the pudding with boiling water. | Bake for 30-35 minutes or until the top is firm. Stand for approximately 10 minutes before serving to cool slightly. Dust with cocoa powder and serve immediately.",1294.2,3.8,60.3,5.6,4.3,40.1,True,ok
Eggnog,https://www.monashfodmap.com/recipe/eggnog/,Serves: 4-5,Cook: 15 minutes,9,A classic Christmas cocktail that can now be enjoyed symptom free!,4-5,PT60M,PT15M,PT75M,2 cups lactose free milk | ½ tsp cinnamon | ½ tsp nutmeg | ½ tsp vanilla extract | 6 regular egg yolks | ½ cup sugar | 1 cup lactose free cream | 1 cup whiskey,"In a medium sized bowl, whisk the egg yolks with the sugar into the yolks are pale in colour. | In a small saucepan on low heat and stirring continuously, mix the milk, cinnamon, nutmeg and vanilla. Slowly bring the mixture to a simmer. | Slowly and in batches, add the hot milk mixture to the bowl with the egg yolks. Whisk well to combine. | Once all of the egg and milk have been mixed together, pour the mixture back into the saucepan over a low heat and cook until slightly thickened. | Remove saucepan from the heat and stir in whiskey and cream. Cover with a plastic wrap and place in the refrigerator to cool. | Once cool, serve and sprinkle with cinnamon or nutmeg.",2190.0,7.6,30.1,29.7,0.2,29.7,True,ok
Grapefruit Prawn Salad,https://www.monashfodmap.com/recipe/grapefruit-prawn-salad/,Serves: 4,Cook: 10 minutes,9,This festive dish can be enjoyed all the year round!,4,PT10M,PT10M,PT20M,"peeled, cooked prawns (about 16 or 800g whole prawns) | ½ pink grapefruit, peeled and segmented | 1 long green chilli, sliced | 1 bunch of mint, leaves picked | 1/2 cup coriander leaves | 2 Lebanese cucumbers, cut thinly on the diagonal | 1/2 cup shredded coconut | 1/2 cup roasted peanuts | 2 tsp caster sugar | juice of 2 limes | 2 tbsp fish sauce","In a large bowl, mix the prawns, grapefruit, chilli, herbs, cucumber, coconut and peanuts in a large bowl. | To make the dressing, mix the sugar, lime juice and fish sauce. Pour the dressing over the salad and mix together. | On a large serving tray, arrange the salad mix. Serve immediately.",1320.0,29.42,9.15,16.21,6.92,7.96,True,ok
Christmas Yoghurt Bark,https://www.monashfodmap.com/recipe/christmas-yoghurt-bark/,Serves: 5,Cook: 90 minutes,10,Get the whole family involved with this healthy festive treat!,5,PT10M,PT90M,PT100M,"2 cups plain lactose free yoghurt | 1/2 cup chopped strawberries | 2 tbsp pumpkin seeds | 30g dark chocolate, shaved or grated","Prepare a baking tray by lining it with baking paper. | Spread the yoghurt out with a spoon or spatula evenly into the baking paper until you get the desired thickness that you want your bark. Sprinkle with strawberries, chocolate and pumpkin seeds. | Place in the freezer - this will vary depending on how thick your yoghurt base is (may take anywhere between 90 minutes or you may prefer to do it overnight). | Once frozen, chop and break up into different sizes. Store into an airtight container for up to one week.",647.0,6.6,13.4,7.9,0.8,11.8,True,ok
Salmon poke bowl,https://www.monashfodmap.com/recipe/salmon-poke-bowl/,Serves: 4,Cook: 15 minutes,10,This low FODMAP poke bowl is a quick and easy way to eat a rainbow in a meal.,4,PT55M,PT15M,PT70M,"1 1/2 cups white rice or sushi rice | 2 tsp sugar | 1/4 cup rice wine vinegar | 1/4 cup soy sauce | 1 tsp wasabi powder | 2 tsp maple syrup | Sashimi-grade salmon, cut into 2cm cubes | 1 tbs sesame seeds | 4 red radish, thinly sliced | 1 continental cucumber, thinly sliced | 1 cup shredded red cabbage","Cook rice following the instructions on the packet. Combine sugar and 1/2 of the vinegar into a bowl. Once the rice had cooled slightly, mix in the vinegar &amp;amp; sugar. Leave to cool. | In a large bowl, mix the soy sauce, wasabi, maple syrup and remaining vinegar until well mixed. Add the salmon and toss gently. Cover and refrigerate for at 15 minutes. | Divide rice among bowls. Top with salmon mixture, and all of the chopped vegetables. Add sesame seeds on top as a garnish.",2094.0,25.3,68.3,12.6,2.5,6.6,True,ok
Buckwheat Crepes,https://www.monashfodmap.com/recipe/buckwheat-crepes/,Serves: 15,Cook: 15 minutes,10,The hardest part is choosing what flavour you&#x27;d like on top! Bon Appétit.,15,PT130M,PT15M,PT145M,1 cup lactose-free low fat milk | 1/3 cup water | 3 eggs | 1/2 tsp salt | 2/3 cup buckwheat flour | 1/2 cup plain white gluten free flour | 3 tbs canola oil,"Place the milk, water, eggs and salt in a blender. Cover the blender and turn on at a low speed. Add the flours and then the canola oil. Increase the speed to high and blend to one minute. | Transfer to a bowl, cover and refrigerate for one to two hours. | Place a seasoned crepe pan over medium heat. Brush with butter or oil, and when the pan is hot, remove from the heat and ladle in 3 tablespoons of batter. Swirl the pan to distribute the batter evenly, and return to heat. Cook for about 1 minute or until you can easily loosen the edges with a spatula. Turn and cook on the other side for 30 seconds. Turn onto a plate. Continue until all of the batter is ued.",383.0,3.3,8.0,5.0,0.4,1.2,True,ok
Pumpkin pie bug balls,https://www.monashfodmap.com/recipe/pumpkin-pie-bug-balls/,Serves: 12,Cook: 5 minutes,10,"To celebrate Halloween this year, re-create the delicious pumpkin spice flavour in the form of these delicious bliss balls!",12,PT5M,PT5M,PT10M,"Kent/japanese/jarrahdale pumpkin, pureed and cooled* | Chopped pecans | Coconut, desiccated | 2 tbsp pure maple syrup | 1 tbsp pumpkin spice mix** | 2 tbsp pepitas (pumpkin seeds) | Extra pumpkin seeds and pretzels for decorating","Process pecans in a food processer until finely chopped – put half aside on a plate. | Add pumpkin puree, shredded coconut, maple syrup, pumpkin spice and pepitas to the remaining pecan mixture and process in food processer until well combined | Roll mixture into balls (approx. 2 tablespoons per ball) and roll in left over pecan mix to coat | Place onto a lined tray in the fridge for 1 hour – can be stored in an airtight container in the fridge for up to a week | Add broken up pretzels as spider legs and pumpkin seeds as eyes for a spooky Halloween twist",679.0,2.4,5.1,14.4,2.6,4.5,True,ok
Pumpkin Spiced Latte,https://www.monashfodmap.com/recipe/pumpkin-spiced-latte/,Serves: 1,Cook: 2 minutes,10,"As the cooler months set in, there&#x27;s nothing better than this delicious low FODMAP pumpkin spiced latte.",1,PT2M,PT2M,PT4M,1 tsp pure maple syrup | 1 tsp canned pumpkin (or pureed pumpkin) | 1 shot coffee or espresso | 1/4 tsp cinnamon | 1/4 tsp nutmeg | 1/4 tsp ground ginger | 1/4 tsp cloves | 1 cup reduced-fat lactose-free milk (or your preferred choice of low FODMAP milk),"Add all ingredients, except for the milk into a glass and stir well to combine. | Warm up your milk, either on the stove or using a coffee machine. Pour into your glass and mix ingredient well. Serve immediately.",192.0,3.1,5.8,1.1,0.4,5.2,True,ok
Cacao peanut butter smoothie bowl,https://www.monashfodmap.com/recipe/cacao-peanut-butter-smoothie-bowl/,Serves: 1,Cook: 2 minutes,10,"Who said chocolate isn&#x27;t healthy? This bowl is full of fibre, healthy fats and most importantly, flavour!",1,PT5M,PT2M,PT7M,1 firm banana | 1 tsp cacao powder | 1 tsp maple syrup | 1 tbsp natural peanut butter | 1 tsp chia seeds | 1/2 cup lactose free milk (or your preferred low FODMAP choice of milk),Blend all ingredients in a blender and serve immediately.,1527.0,12.4,33.3,19.3,5.4,23.7,True,ok
Tahini Chocolate Chip Cookies,https://www.monashfodmap.com/recipe/tahini-chocolate-chip-cookie/,Serves: 15,Cook: 15 minutes,11,Perfect for dunking in milk or a tea - these cookies are a classic treat with a twist.,15,PT10M,PT15M,PT25M,"Butter, unsalted | Tahini, unhulled | Sugar | 1 egg | 1 tsp vanilla extract | 1 1/2 cups gluten free flour | 1/2 tsp baking soda | 1/2 tsp baking powder | 1 tsp salt | Dark chocolate chips","Preheat oven to 180°C/350°F and line a baking tray with baking paper/parchment. | In a medium/large size mixing bowl, use an electric mixer to cream the butter, tahini and sugar for 5 minutes on a medium speed. The mixture should be light and creamy in colour. | Add egg and vanilla. Mix for a further 2 minutes. | Sift flour, baking soda, baking powder and salt into the bowl with the creamy mix. Use a spoon or a spatula to mix all ingredients until well combined, forming a dough. | Fold in chocolate chips and mix until the chocolate is evenly spread throughout the dough. | Use a spoon to form the dough into about 15 balls and place on the pre prepared baking tray about 5cm apart, and press down slightly. If you have any extra chocolate chips, decorate these on the tops of the cookies. | Bake for approximately 15 minutes or until golden and brown. Allow 10-15 minutes cooling before eating.",1109.0,3.6,27.0,15.9,1.8,17.4,True,ok
"Barnyard Millet, Chicken and Vegetable Pilaf",https://www.monashfodmap.com/recipe/barnyard-millet-chicken-and-vegetable-pilaf/,Serves: 4,Cook: 20 minutes,11,"Barnyard millet is an ancient cereal used in Asia. It is very nutritious, a good source of dietary fibre and the micronutrients iron and zinc.",4,PT10M,PT20M,PT30M,"1 cup barnyard millet | 4 1/3 tbsp canola oil | 3/4 tbsp garlic infused oil | 1 cup eggplant, 1cm dice | 1 cup red capsicum, 1 cm dice | 2/3 cup tindora/ivy gourd (frozen, defrosted and drained). The gourds should be quartered lengthwise | 2 stalks curry leaves stripped off the stalk | 1 tbsp garam masala | 1 tsp turmeric | 1/2 tsp red chilli flakes | 1 tsp pepper, cacked black (to taste) | 1/2 tsp salt (to taste) | Chicken thigh, skinless and boned, 1cm dice (1 cup) | Water | 1 1/4 tsp vegetable stock powder | 1/2 cup spring onion greens | Coriander leaves for serving | Fresh lemon wedges to serve","Wash millet in cold water and drain thoroughly in a fine sieve. | Mix water with stock powder and set aside. | Heat both oils in a saucepan (preferably non-stick) that has a tight-fitting lid. Over a high heat sauté eggplant, capsicum, tindora and curry leaves, stirring constantly for about 5 minutes. Add the millet and spices and sauté for about 3 minutes then add the stock and chicken. | Once the mixture has come to the boil, reduce the heat and continue to stir for about 10 minutes then add the onion greens and salt. | Cover with the lid and let it rest for about 5 minutes. | To serve, sprinkle with fresh coriander and a big chunk of lemon or lime.",1700.0,16.8,35.0,22.3,10.1,2.5,True,ok
Maple granola,https://www.monashfodmap.com/recipe/maple-granola/,Serves: 20 1/4 cup (35g) serves,Cook: 20 minutes,11,"With a great mix of nuts and seeds this granola adds a lovely crunchy topping to cereal, porridge or yoghurt.",20 1/4 cup (35g) serves,PT5M,PT20M,PT25M,1/2 cup almonds | 1 1/2 cups rolled oats | 1/2 cup buckwheat kernels | 1/4 cup linseeds/flaxseeds | 1/4 cup sunflower seeds | 1/4 cup chia seeds | 1/4 cup pepitas | 1/2 tbsp ground cinnamon | 1/4 cup maple syrup | 1/4 cup coconut oil | 2 tbsp extra virgin olive oil | 30g natural peanut butter | 1 tsp vanilla essence,"Preheat oven to 160°C/320°F fan-forced (180°C/356°F if not fan-forced) and line two trays with baking paper | Roughly chop almonds | Mix together all dry ingredients in a bowl | Add all wet ingredients into a microwave proof jug and heat until liquid | Pour the liquid over the dry ingredients and mix well until all coated | Divide over the two trays in a nice thin layer, press down firmly as this is what helps it stick together and get crunchy. Sprinkle dried cranberries over the top to mix in when cooled. | Cook for 12-18 minutes or until lightly golden. Take out of the oven and set aside to cool. | When cool, break apart and store in airtight container for &amp;lt;4 weeks. | With all the nuts and seeds, stick to the recommended serve size to avoid too many FODMAPS.",746.0,5.0,12.0,12.0,3.0,6.0,True,ok
